id,class_label,entities
6035,1,PERSON PERSON
6036,1,PERSON
6037,1,PERSON GPE
6038,1,CARDINAL CARDINAL CARDINAL
6039,1,PERSON ORG ORG ORG
6040,1,DATE DATE DATE DATE GPE ORG ORG ORG ORG ORG
6041,1,NORP PERSON NORP DATE DATE
6042,1,ORG NORP
6043,1,ORG PERSON PERSON
6044,1,CARDINAL PERSON MONEY MONEY MONEY
6045,1,PERSON PERSON PERSON GPE
6046,1,PERSON PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERSON
6047,1,PERSON PERSON NORP PERSON PERSON ORG ORG ORG
6048,1,PERSON GPE
6049,1,ORG ORG ORG ORG NORP
6050,1,ORG PERCENT PERCENT ORG ORG CARDINAL CARDINAL ORG PERSON
6051,1,ORG ORG
6052,1,ORG ORG GPE
6053,1,ORG DATE DATE DATE DATE DATE DATE DATE ORG
6054,1,ORG GPE GPE PERSON PERSON PERSON GPE
6055,1,WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART EVENT EVENT EVENT EVENT ORG
6056,1,PERSON
6057,1,ORG ORG ORG GPE PERSON GPE PERSON
6058,1,DATE PERSON PERSON
6059,0,PERSON PERSON GPE
6060,1,PERSON PERSON DATE
6061,1,LOC LOC ORG ORG ORG ORG PERSON
6062,1,ORG ORG CARDINAL CARDINAL DATE DATE DATE DATE DATE
6063,1,PRODUCT PRODUCT GPE PERSON
6064,1,PERSON ORG ORG
6065,1,PERSON ORG GPE
6066,1,ORG ORG
6067,1,GPE ORG PERSON
6068,1,PERSON GPE CARDINAL GPE ORG
6069,1,ORG PERSON
6070,1,ORG NORP PERSON DATE
6071,1,ORG ORG CARDINAL ORG ORG
6072,1,ORG ORG PERSON
6073,1,ORG CARDINAL NORP ORG
6074,1,PERSON PERSON GPE GPE GPE GPE
6075,1,CARDINAL ORG ORG CARDINAL DATE DATE NORP CARDINAL MONEY MONEY MONEY
6076,1,PERSON ORG ORG ORG ORG
6077,1,PERSON PERSON
6078,1,ORG ORG
6079,1,PERSON PERSON ORG GPE GPE GPE CARDINAL CARDINAL CARDINAL NORP ORG ORG ORG NORP
6080,0,ORG PERSON
6081,1,NORP
6082,1,ORG ORG ORG PERSON PERSON
6083,1,ORG NORP ORG PERSON
6084,1,ORG CARDINAL DATE PERSON
6085,1,ORG GPE GPE GPE
6086,1,ORG ORG ORG
6087,0,MONEY MONEY PERSON CARDINAL ORG
6088,0,GPE ORG PERSON
6089,1,ORG ORG
6090,1,CARDINAL CARDINAL CARDINAL CARDINAL CARDINAL
6091,1,GPE ORG PERSON GPE
6092,1,ORG ORG ORG ORG
6093,1,NORP ORG ORG ORG
6094,1,ORG CARDINAL CARDINAL
6095,1,GPE GPE CARDINAL
6096,1,
6097,1,ORG ORG ORG GPE
6098,1,PERSON PERSON PERSON PERSON PERSON PERSON GPE
6099,1,ORG ORG ORG
6100,1,NORP
6101,1,PERSON PERSON PERSON NORP ORG ORG ORG ORG ORG CARDINAL DATE DATE GPE ORG
6102,1,PERSON
6103,1,PERSON PERSON GPE ORG
6104,1,CARDINAL DATE
6105,1,ORG
6106,1,ORG ORG ORG GPE
6107,1,CARDINAL CARDINAL
6108,1,
6109,1,EVENT EVENT EVENT NORP
6110,1,
6111,1,NORP GPE CARDINAL NORP NORP MONEY MONEY MONEY
6112,1,LOC DATE DATE DATE
6113,1,PERSON PERSON PERSON NORP PERSON PERSON PERCENT PERCENT NORP NORP PERCENT PERCENT NORP ORG ORG ORG
6114,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6115,1,ORG ORG PERSON
6116,1,PERSON PERSON
6117,1,PERSON NORP
6118,1,CARDINAL
6119,1,PERSON
6120,1,
6121,1,
6122,1,ORG
6123,1,ORG
6124,1,DATE DATE GPE GPE PERSON PERSON ORG
6125,1,PERSON PERSON PERSON ORG QUANTITY QUANTITY QUANTITY QUANTITY CARDINAL GPE
6126,1,CARDINAL
6127,1,DATE PERSON CARDINAL GPE ORG
6128,1,
6129,1,PERSON ORG ORG
6130,1,ORDINAL
6131,1,GPE PERSON GPE
6132,1,ORG ORG ORG ORG PERSON PERSON
6133,1,
6134,1,ORG ORG NORP ORG
6135,1,NORP GPE GPE
6136,1,PERSON PERSON PERSON ORDINAL GPE
6137,1,ORG ORG ORG ORG
6138,1,DATE
6139,1,DATE PERSON GPE
6140,1,CARDINAL PERSON PERSON ORDINAL ORG ORG ORG ORG ORG CARDINAL MONEY MONEY MONEY PERSON PERSON PERSON
6141,1,
6142,1,NORP
6143,1,ORG ORG ORG PERSON PERSON
6144,1,PERSON PERSON NORP
6145,1,
6146,1,PERSON ORG ORG ORG ORG CARDINAL DATE DATE ORG ORG PERSON PERSON PERSON ORG
6147,1,PRODUCT PERSON DATE
6148,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6149,1,ORG ORG ORG ORG
6150,1,
6151,1,PERSON PERSON DATE ORG DATE
6152,1,PERSON
6153,1,
6154,1,
6155,1,
6156,1,ORG DATE DATE DATE CARDINAL
6157,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6158,1,GPE
6159,1,CARDINAL NORP GPE ORG ORDINAL
6160,1,ORG ORG
6161,1,NORP PERSON PERSON PERSON
6162,1,PRODUCT
6163,1,ORDINAL NORP
6164,1,CARDINAL MONEY MONEY MONEY
6165,1,PERSON PERSON
6166,1,WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART ORG ORG
6167,1,PERSON PERSON DATE
6168,0,GPE
6169,1,
6170,0,TIME TIME TIME DATE ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG PERSON GPE
6171,1,
6172,1,PERSON
6173,1,ORG ORG ORG PERSON ORG ORG ORG WORK_OF_ART WORK_OF_ART WORK_OF_ART
6174,1,PERSON PERSON
6175,1,
6176,1,ORG ORG ORG ORG GPE WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART PERSON
6177,1,GPE ORDINAL ORG
6178,1,PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6179,1,GPE ORG
6180,1,
6181,1,
6182,1,NORP
6183,1,DATE PERSON CARDINAL GPE ORG ORG ORG ORG ORG ORG ORG ORG
6184,1,GPE GPE GPE DATE DATE ORG GPE NORP NORP ORG ORG ORG ORG
6185,1,ORG ORG ORG GPE GPE DATE DATE DATE DATE
6186,1,ORG ORG ORG ORG ORG ORG
6187,1,DATE
6188,1,GPE DATE
6189,1,ORG ORG ORG ORG CARDINAL CARDINAL CARDINAL
6190,1,
6191,1,LOC
6192,0,ORG ORG ORG ORG ORG ORG CARDINAL GPE DATE DATE CARDINAL
6193,1,
6194,1,ORG ORG ORG ORG
6195,1,CARDINAL CARDINAL CARDINAL CARDINAL
6196,1,PERSON
6197,1,PERSON PERSON PERSON PERSON ORG ORG PERSON MONEY
6198,1,GPE PERSON GPE TIME TIME CARDINAL
6199,1,PERSON PERSON ORG
6200,1,ORG
6201,1,GPE ORG
6202,1,PERSON ORG ORG ORG ORG
6203,1,DATE PERSON
6204,1,ORG ORG ORG
6205,1,ORG ORG
6206,1,GPE
6207,1,PERSON PERSON
6208,1,ORG
6209,1,ORG
6210,1,PERSON
6211,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6212,1,PERSON PERSON
6213,1,
6214,0,ORG NORP PERSON GPE DATE DATE ORG ORG ORG ORG ORG ORG
6215,1,PERSON
6216,1,PERSON ORG GPE GPE
6217,1,DATE DATE DATE DATE DATE DATE
6218,1,ORG
6219,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6220,1,PERSON PERSON PERSON GPE PERSON
6221,1,ORG
6222,1,
6223,1,GPE GPE GPE DATE DATE DATE
6224,1,GPE
6225,1,ORG
6226,1,
6227,1,NORP
6228,1,ORG
6229,1,
6230,1,
6231,1,PERSON PERSON ORG PERSON
6232,1,ORG PERSON ORG
6233,1,
6234,0,
6235,1,ORG ORG ORG
6236,1,
6237,1,PERSON
6238,1,GPE
6239,1,NORP CARDINAL NORP
6240,1,NORP ORG ORG ORG
6241,1,ORG ORG ORG ORG
6242,1,
6243,1,PERSON PERSON MONEY
6244,1,ORG
6245,1,LOC CARDINAL
6246,1,GPE GPE ORG
6247,1,
6248,1,CARDINAL
6249,1,ORG
6250,1,CARDINAL DATE DATE CARDINAL ORG
6251,1,ORG CARDINAL CARDINAL CARDINAL
6252,1,PERSON
6253,1,
6254,1,CARDINAL CARDINAL
6255,1,PERSON PERSON PERSON ORG
6256,1,CARDINAL DATE DATE
6257,1,NORP NORP CARDINAL CARDINAL ORG ORG PERSON
6258,1,WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART PRODUCT
6259,1,GPE
6260,1,LOC PERSON PERSON LOC LOC ORG ORG ORG GPE PERSON PERSON CARDINAL CARDINAL
6261,1,
6262,1,DATE ORG ORG ORG CARDINAL ORG ORG ORG ORG
6263,1,ORG ORG ORG ORG ORG
6264,1,PERSON NORP ORG ORG ORG ORG ORG CARDINAL PERSON PERSON PERSON PERSON DATE DATE
6265,1,
6266,1,PERCENT PERCENT NORP
6267,1,
6268,1,ORG ORG ORG MONEY MONEY MONEY
6269,1,GPE GPE ORG ORG ORG ORG GPE GPE GPE
6270,1,ORG ORG
6271,1,
6272,1,PERSON CARDINAL ORG
6273,1,GPE
6274,1,
6275,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6276,1,ORG NORP
6277,1,PERSON PERSON
6278,1,GPE DATE PERSON
6279,1,
6280,1,TIME ORG ORG ORG PRODUCT ORG ORG
6281,1,
6282,1,NORP ORG ORG ORG
6283,1,DATE
6284,1,PERSON PERSON PERSON ORG
6285,1,
6286,1,ORG
6287,1,
6288,1,
6289,1,ORG ORG NORP NORP
6290,1,ORG
6291,0,ORG ORG ORG ORDINAL PERSON PERSON MONEY MONEY MONEY LOC
6292,1,GPE
6293,1,ORG ORG ORG
6294,1,MONEY MONEY MONEY
6295,1,
6296,1,ORG
6297,1,ORG ORG ORG ORG PERSON PERSON
6298,1,
6299,1,GPE
6300,1,NORP
6301,1,PERSON PERSON PERSON PERSON ORG CARDINAL PERSON ORG ORG PERSON PERSON MONEY
6302,1,ORG
6303,1,PERSON PERSON
6304,1,GPE GPE PERSON PERSON MONEY MONEY MONEY ORG
6305,1,ORG PERSON PERSON ORG
6306,1,
6307,1,CARDINAL ORG PERSON ORG ORG ORG GPE CARDINAL
6308,1,ORG
6309,0,
6310,1,PERSON PERSON LAW PERCENT PERCENT
6311,1,CARDINAL GPE
6312,1,
6313,1,ORG ORG NORP
6314,1,
6315,1,NORP ORDINAL
6316,1,PERSON
6317,1,
6318,1,
6319,1,ORG
6320,1,
6321,1,PERSON ORG ORG ORG ORG
6322,1,GPE GPE CARDINAL
6323,1,
6324,1,ORG PERSON PERSON
6325,1,GPE
6326,1,CARDINAL GPE DATE ORG PERSON
6327,1,PERSON PERSON PERSON
6328,1,ORG ORG ORG CARDINAL GPE DATE DATE DATE DATE
6329,1,NORP GPE GPE GPE
6330,1,ORG ORG DATE DATE ORG ORG ORG ORG DATE DATE PERSON
6331,1,PERSON
6332,1,CARDINAL
6333,1,CARDINAL
6334,1,NORP ORG
6335,1,ORG ORG ORG ORG ORG
6336,0,PERSON PERSON PERSON ORG PERSON PERSON PERSON PERSON PERSON ORG ORG
6337,1,GPE
6338,1,GPE ORG ORG ORG PERSON PERSON PERSON ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
6339,1,
6340,1,NORP ORG
6341,1,PERSON PERSON
6342,1,ORG GPE
6343,1,ORG PERSON DATE DATE
6344,1,
6345,1,PRODUCT
6346,1,ORG
6347,1,
6348,1,ORG ORG ORG CARDINAL CARDINAL
6349,1,PERSON DATE DATE
6350,1,ORG
6351,1,ORG ORG DATE DATE DATE DATE
6352,1,PERSON PERSON PERSON PERSON ORG ORG ORG ORG ORG
6353,1,DATE ORG DATE
6354,1,GPE NORP
6355,1,
6356,1,ORG ORG ORG
6357,0,PERSON PERSON MONEY MONEY MONEY MONEY
6358,1,CARDINAL PERSON PERSON ORG ORG ORG ORG
6359,1,
6360,1,DATE DATE GPE
6361,1,ORG ORG ORG ORG ORG ORG DATE DATE ORG
6362,1,PERSON
6363,1,PERSON PERSON PERSON PERSON
6364,1,
6365,1,GPE DATE
6366,1,PERSON PERSON PERSON DATE DATE
6367,1,ORG ORG ORG
6368,1,PERSON
6369,1,
6370,1,CARDINAL GPE CARDINAL CARDINAL
6371,1,NORP NORP ORG ORG ORG
6372,1,PERSON CARDINAL NORP
6373,1,DATE DATE PERSON ORG
6374,1,GPE DATE DATE DATE ORG
6375,1,PERSON PERSON PERSON
6376,1,ORG
6377,1,ORG ORG ORG ORG ORG GPE PERSON MONEY MONEY MONEY MONEY
6378,1,GPE GPE GPE DATE
6379,1,ORG ORG GPE
6380,1,DATE DATE DATE ORG CARDINAL
6381,1,ORDINAL
6382,1,GPE GPE GPE
6383,1,ORDINAL TIME TIME TIME TIME ORG ORG DATE
6384,1,ORG ORG ORG ORG LOC PERSON PERSON
6385,1,
6386,1,DATE ORG CARDINAL DATE DATE DATE MONEY MONEY DATE DATE DATE DATE PERSON CARDINAL DATE
6387,1,GPE CARDINAL CARDINAL CARDINAL
6388,0,
6389,1,ORG ORG
6390,1,ORG ORG ORG ORG ORG DATE DATE
6391,1,GPE GPE GPE LOC
6392,1,PERSON PERSON GPE DATE DATE DATE DATE
6393,1,NORP
6394,1,DATE DATE DATE DATE DATE ORG
6395,0,ORDINAL ORDINAL ORG PERSON
6396,1,LOC LOC LOC LOC
6397,0,ORG NORP
6398,1,GPE DATE
6399,1,LOC CARDINAL ORG
6400,1,ORG
6401,1,ORG DATE DATE DATE
6402,1,ORG
6403,1,PERSON PERSON
6404,1,
6405,1,GPE GPE GPE GPE PERSON PERSON QUANTITY QUANTITY QUANTITY
6406,1,ORG ORG ORG ORG ORG ORG LOC ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
6407,1,LOC PERCENT PERCENT PERCENT PERCENT CARDINAL CARDINAL
6408,1,WORK_OF_ART WORK_OF_ART WORK_OF_ART
6409,1,CARDINAL PERSON
6410,1,GPE
6411,1,PERSON PERSON PERSON
6412,1,CARDINAL NORP ORG ORG ORG ORG ORG ORG
6413,1,ORDINAL NORP
6414,1,ORG ORG ORG ORG GPE
6415,1,ORG ORG ORG ORG ORG ORG
6416,1,ORG ORG DATE DATE DATE ORG ORG ORG
6417,1,ORG ORG ORG GPE
6418,1,PERSON PERSON PERSON
6419,1,DATE DATE PERSON
6420,1,CARDINAL ORG ORG ORG ORG CARDINAL ORG MONEY MONEY MONEY MONEY MONEY CARDINAL
6421,1,ORG ORG
6422,1,PERSON
6423,1,DATE DATE DATE DATE DATE
6424,1,LOC
6425,1,ORG PRODUCT DATE DATE DATE
6426,1,PERSON
6427,1,ORG ORG GPE
6428,1,PERSON ORG ORG
6429,1,
6430,1,ORG ORG ORG ORG ORG
6431,1,GPE GPE GPE
6432,1,ORG ORG ORG ORG ORG ORG GPE
6433,0,
6434,1,
6435,1,
6436,1,ORG CARDINAL
6437,1,ORG ORG ORG ORG ORG ORG ORG
6438,1,
6439,1,ORG CARDINAL
6440,1,ORG ORG ORG GPE
6441,1,ORG ORG ORG ORG PERSON
6442,1,PERSON
6443,1,PERSON PERSON ORG
6444,1,PERSON PERSON DATE DATE
6445,1,NORP NORP NORP PERSON
6446,1,MONEY ORG PERSON PERSON
6447,1,
6448,1,GPE GPE GPE
6449,1,
6450,1,PERSON
6451,1,MONEY MONEY MONEY PERSON ORG ORG ORG DATE PERSON CARDINAL ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG CARDINAL
6452,1,ORG ORG CARDINAL PERSON
6453,1,DATE DATE
6454,1,GPE GPE NORP
6455,1,LOC DATE DATE DATE DATE DATE DATE
6456,1,ORG DATE DATE ORG CARDINAL
6457,1,
6458,1,ORG ORG ORG ORG
6459,1,ORG ORG ORG ORG
6460,1,CARDINAL
6461,1,PERSON PERSON PERSON PERSON
6462,1,ORG ORG ORG ORG PERSON PERSON
6463,1,
6464,1,
6465,1,DATE DATE
6466,1,
6467,1,
6468,1,PERSON PERSON GPE DATE DATE DATE DATE
6469,1,
6470,1,PERSON ORG ORG ORG ORG
6471,1,CARDINAL
6472,1,GPE GPE GPE GPE NORP
6473,1,ORG DATE DATE DATE DATE
6474,1,GPE CARDINAL
6475,1,
6476,1,DATE ORG ORDINAL TIME ORG
6477,0,DATE DATE DATE ORG ORG ORG ORG WORK_OF_ART WORK_OF_ART WORK_OF_ART NORP PERSON
6478,0,ORG ORG ORG ORG ORG ORG ORG ORG
6479,1,
6480,1,
6481,1,GPE DATE DATE DATE DATE
6482,1,PERSON MONEY MONEY MONEY MONEY MONEY
6483,1,DATE DATE ORG FAC FAC
6484,1,
6485,1,ORG ORG PERSON PERSON ORG ORG ORG
6486,1,ORG ORG
6487,1,
6488,1,PERSON PERSON
6489,1,ORG ORG ORG
6490,1,
6491,1,PERSON PERSON PERSON PERSON PERSON
6492,1,TIME
6493,1,GPE GPE ORG ORG ORG ORG DATE DATE
6494,1,PERSON PERSON PERSON PERSON PERSON
6495,1,NORP
6496,1,GPE ORG ORG
6497,1,
6498,1,ORG DATE DATE GPE ORG
6499,1,GPE
6500,1,ORG CARDINAL CARDINAL CARDINAL
6501,1,PERSON PERSON
6502,1,
6503,1,
6504,1,GPE PERSON GPE DATE NORP
6505,1,CARDINAL ORG ORG ORG ORG ORG ORG PERSON
6506,1,DATE DATE DATE DATE DATE DATE ORG DATE DATE DATE
6507,1,
6508,1,
6509,1,ORG
6510,0,ORG ORG GPE
6511,1,ORG ORG QUANTITY QUANTITY
6512,1,ORG ORG PERSON PERSON
6513,1,
6514,1,GPE PERSON PERSON MONEY MONEY MONEY DATE GPE GPE GPE DATE
6515,1,
6516,1,PERSON PERSON
6517,1,
6518,1,
6519,1,
6520,1,ORG PERSON PERSON ORG LAW
6521,1,
6522,1,GPE GPE GPE ORG ORG GPE
6523,1,PERSON
6524,1,ORG PERSON WORK_OF_ART NORP GPE NORP
6525,1,
6526,1,ORG NORP CARDINAL CARDINAL
6527,1,GPE ORG
6528,1,
6529,1,
6530,1,ORG ORG
6531,1,ORG ORG ORG ORG ORG NORP
6532,1,
6533,1,ORG ORG ORG PERSON
6534,1,NORP GPE NORP ORG ORG ORG ORG ORG
6535,1,PERSON ORG CARDINAL CARDINAL CARDINAL
6536,1,
6537,0,ORG DATE
6538,1,PERSON GPE
6539,1,CARDINAL GPE PERSON
6540,1,PERSON ORG
6541,1,PERSON PERSON LANGUAGE ORG
6542,1,PERSON
6543,1,GPE DATE DATE CARDINAL GPE CARDINAL CARDINAL
6544,1,ORG
6545,1,ORG ORG
6546,1,ORG PERSON PERSON PERSON LAW LAW PERSON
6547,1,ORG ORG ORG NORP GPE
6548,1,PERSON PERSON PERSON CARDINAL DATE DATE ORG ORG ORG
6549,1,
6550,1,
6551,1,
6552,1,GPE GPE NORP
6553,1,GPE GPE
6554,1,CARDINAL CARDINAL PERSON CARDINAL CARDINAL CARDINAL
6555,1,GPE NORP
6556,1,ORG
6557,1,
6558,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
6559,1,PERSON PERSON PERSON
6560,1,MONEY
6561,1,PERSON ORG DATE DATE DATE
6562,1,ORG ORG ORG ORG ORG
6563,1,
6564,1,PERSON PERSON GPE CARDINAL GPE PERCENT PERCENT PERCENT CARDINAL CARDINAL GPE GPE
6565,0,
6566,1,PERSON PERSON PERSON PERSON CARDINAL CARDINAL
6567,1,
6568,1,NORP
6569,1,CARDINAL
6570,1,ORG
6571,1,PERSON CARDINAL
6572,1,
6573,1,ORG EVENT EVENT ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
6574,1,PERSON DATE DATE
6575,1,GPE ORG ORG ORG ORG GPE
6576,1,ORG DATE
6577,1,ORG GPE
6578,1,CARDINAL NORP ORG ORG ORG ORG ORG ORG ORG NORP
6579,1,GPE GPE GPE
6580,1,ORG
6581,1,
6582,1,ORG ORG ORG ORG LOC ORG ORG PRODUCT
6583,1,
6584,1,GPE GPE ORDINAL GPE ORDINAL GPE CARDINAL ORDINAL
6585,1,ORG
6586,0,LOC
6587,1,
6588,1,
6589,1,
6590,1,ORG ORG
6591,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG DATE PERSON
6592,1,DATE DATE DATE LOC
6593,1,
6594,1,CARDINAL
6595,1,GPE GPE GPE DATE
6596,1,DATE DATE PERSON ORG GPE GPE GPE
6597,1,NORP NORP NORP NORP NORP
6598,1,ORG DATE DATE ORG
6599,1,DATE DATE DATE ORG ORG CARDINAL
6600,1,CARDINAL DATE DATE DATE DATE DATE DATE DATE
6601,1,GPE PERCENT PERCENT DATE DATE DATE DATE DATE DATE CARDINAL PERSON PERSON PERSON
6602,1,CARDINAL ORG LAW LAW LAW DATE DATE DATE GPE ORG ORG ORG ORG GPE
6603,1,GPE GPE GPE PERSON DATE DATE DATE DATE DATE ORG
6604,1,PERSON GPE PERSON
6605,1,LAW LAW LAW GPE ORG LAW
6606,1,ORG GPE
6607,1,CARDINAL PERSON CARDINAL GPE GPE GPE GPE GPE GPE GPE GPE LAW
6608,1,PERSON DATE DATE GPE LAW ORG ORG ORG LAW
6609,1,GPE LAW LAW LAW DATE NORP
6610,1,LAW GPE TIME TIME GPE
6611,1,ORG ORG GPE GPE LAW
6612,1,PERSON CARDINAL GPE GPE GPE GPE GPE GPE GPE GPE LAW
6613,1,DATE LAW LAW LAW GPE
6614,1,GPE LAW
6615,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG GPE ORG GPE LAW LAW LAW GPE GPE ORG
6616,1,GPE DATE DATE DATE DATE DATE LAW LAW LAW NORP LAW
6617,1,GPE CARDINAL CARDINAL LAW
6618,1,PERSON PERSON GPE LAW LAW LAW
6619,1,LAW LAW LAW PERSON
6620,1,ORG ORG ORG ORG ORG ORG ORG GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE CARDINAL
6621,1,DATE DATE DATE
6622,1,DATE ORG ORG DATE ORG ORG ORG ORG ORG GPE DATE DATE
6623,1,LAW GPE
6624,1,ORG ORG ORG LAW NORP NORP GPE GPE GPE GPE
6625,1,PERSON PERSON DATE DATE DATE DATE DATE
6626,1,DATE ORG ORG ORG ORG LAW LAW LAW GPE DATE
6627,1,CARDINAL GPE GPE GPE GPE GPE GPE GPE GPE LAW
6628,1,ORG ORG ORG LAW LAW LAW GPE GPE
6629,1,GPE GPE LAW
6630,1,LAW GPE
6631,1,PERSON PERSON PERSON LAW
6632,1,CARDINAL DATE DATE LAW DATE GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE
6633,1,GPE CARDINAL GPE LAW LAW LAW
6634,1,GPE CARDINAL PERSON GPE ORG ORG ORG ORG ORG ORG NORP
6635,1,GPE GPE ORG LAW LAW LAW
6636,1,GPE GPE LAW
6637,1,GPE GPE GPE GPE LAW LAW LAW GPE LAW
6638,1,ORG ORG ORG LAW GPE
6639,0,LAW GPE GPE DATE DATE DATE DATE DATE DATE GPE GPE GPE CARDINAL
6640,1,ORG ORG ORG ORG ORG ORG ORG PRODUCT PRODUCT CARDINAL PERSON PERSON ORG ORG ORG ORG ORG ORG NORP NORP DATE DATE DATE LAW
6641,1,LAW CARDINAL GPE PRODUCT
6642,1,PERSON PERSON PERSON GPE GPE LAW ORG ORG LAW PERSON CARDINAL NORP
6643,1,LAW LAW LAW ORG ORG ORG ORG PERSON PERSON
6644,1,CARDINAL ORDINAL ORG PERSON PERSON LAW ORG ORG ORG ORG NORP ORG
6645,1,GPE PERSON
6646,1,ORG ORG GPE LAW
6647,1,LAW LAW LAW GPE PERSON LAW LAW LAW GPE ORG ORG ORG ORG ORG
6648,1,GPE CARDINAL NORP DATE DATE DATE ORG ORG LAW LAW LAW
6649,0,GPE ORDINAL
6650,1,GPE LAW LAW LAW GPE
6651,1,LAW LAW LAW ORG ORG GPE ORG ORG ORG ORG
6652,1,GPE GPE DATE DATE DATE DATE PERSON PERSON PERSON PERSON DATE LAW LAW ORG ORG
6653,1,GPE DATE GPE GPE GPE GPE GPE GPE GPE LAW LAW LAW GPE
6654,1,GPE GPE LAW GPE
6655,1,GPE GPE
6656,1,PERSON LAW
6657,1,GPE ORG ORG ORG
6658,1,GPE GPE PRODUCT PRODUCT PRODUCT QUANTITY QUANTITY LAW LAW LAW LAW DATE DATE
6659,1,GPE LAW
6660,1,PERSON PERSON PERSON ORG ORG CARDINAL DATE GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE
6661,1,GPE GPE NORP LAW ORG
6662,1,LAW GPE
6663,1,ORG ORG ORG ORG GPE
6664,1,GPE LAW
6665,1,GPE TIME TIME ORG LAW
6666,1,DATE GPE GPE LAW
6667,1,ORG ORG ORG ORG LAW LAW LAW CARDINAL GPE
6668,1,GPE PERSON ORG ORG ORG ORG
6669,1,ORG GPE LAW LAW LAW
6670,1,ORG ORG LAW LAW CARDINAL
6671,1,GPE LAW ORG ORG ORG
6672,1,ORG ORG GPE LAW
6673,1,LAW LAW LAW DATE DATE DATE DATE ORG GPE
6674,1,GPE GPE DATE DATE LAW
6675,1,GPE ORG DATE DATE DATE DATE DATE LAW ORDINAL
6676,1,CARDINAL GPE GPE GPE GPE GPE GPE GPE GPE LAW
6677,1,NORP NORP NORP PERCENT PERCENT PERCENT CARDINAL CARDINAL CARDINAL
6678,1,DATE DATE DATE DATE DATE DATE DATE NORP NORP
6679,1,NORP NORP GPE DATE DATE ORG
6680,1,NORP NORP GPE GPE
6681,1,NORP NORP DATE PERSON PERSON CARDINAL
6682,1,GPE GPE NORP NORP GPE PERSON
6683,1,NORP NORP DATE LAW LAW LAW LAW DATE CARDINAL NORP NORP
6684,1,PERCENT PERCENT PERCENT NORP NORP DATE DATE NORP NORP DATE DATE DATE NORP NORP DATE
6685,1,NORP NORP DATE DATE
6686,1,NORP NORP GPE GPE CARDINAL
6687,1,ORG ORG ORG LAW LAW LAW LAW DATE PERSON PERSON PERSON NORP NORP NORP ORG ORG ORG ORG PERCENT PERCENT NORP
6688,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
6689,1,NORP CARDINAL NORP NORP NORP GPE PERCENT PERCENT PERCENT PERCENT
6690,1,ORG ORG ORG ORG ORG PERSON ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG
6691,1,NORP NORP DATE DATE
6692,1,NORP NORP NORP
6693,1,DATE NORP NORP DATE DATE DATE PERSON
6694,1,NORP NORP CARDINAL PRODUCT
6695,1,PERSON NORP NORP
6696,1,NORP NORP NORP NORP NORP NORP FAC FAC FAC DATE DATE PERSON CARDINAL LAW LAW
6697,1,ORG ORG CARDINAL NORP NORP GPE GPE GPE ORG CARDINAL CARDINAL
6698,1,NORP PERCENT PERCENT PERCENT PERCENT PERCENT DATE NORP NORP PERCENT PERCENT PERCENT PERCENT PERCENT
6699,1,NORP NORP
6700,1,PERSON
6701,1,DATE MONEY MONEY CARDINAL
6702,1,ORG PERSON
6703,1,DATE DATE
6704,1,MONEY MONEY MONEY PERSON
6705,1,GPE PERSON CARDINAL
6706,1,ORG CARDINAL PERSON
6707,1,
6708,1,NORP LOC CARDINAL
